Codice ISTAT del Comune,Comune,Regione,Provincia,Cluster_popolazione ,CAPOFILA,TIPOLOGIA ASSOCIAZIONE,PIATTAFORMA FRONT OFFICE,PIATTAFORMA BACK OFFICE,lng,lat
1001,AGLIÈ,Piemonte,TO, <5.000 ab.,Cuorgnè,SUAP Associato,Autonoma,Autonoma,"7,7686","45,36343304"
1002,AIRASCA,Piemonte,TO, <5.000 ab.,Pinerolo,SUAP Associato,Autonoma,Autonoma,"7,48443104","44,91688598"
1003,ALA DI STURA,Piemonte,TO, <5.000 ab.,"Unione Montana Valli di Lanzo, Ceronda e Casternone",SUAP Associato,Autonoma,Autonoma,"7,30434392","45,31511014"
1004,ALBIANO D'IVREA,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,94914491","45,43389336"
1006,ALMESE,Piemonte,TO, <5.000 ab.,Unione Montana Valle Susa,SUAP Associato,Autonoma,Autonoma,"7,39518194","45,11766321"
1007,ALPETTE,Piemonte,TO, <5.000 ab.,Cuorgnè,SUAP Associato,Autonoma,Autonoma,"7,57859732","45,40998223"
1008,ALPIGNANO,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,52426733","45,09446973"
1009,ANDEZENO,Piemonte,TO, <5.000 ab.,Chieri,SUAP Associato,Autonoma,Autonoma,"7,86994864","45,03586095"
1010,ANDRATE,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,87383937","45,52837479"
1011,ANGROGNA,Piemonte,TO, <5.000 ab.,Unione Montana del Pinerolese,SUAP Associato,Autonoma,Autonoma,"7,22429215","44,84344991"
1012,ARIGNANO,Piemonte,TO, <5.000 ab.,Chieri,SUAP Associato,Autonoma,Autonoma,"7,90244635","45,04402899"
1013,AVIGLIANA,Piemonte,TO, <5.000 ab.,Unione Montana Valle Susa,SUAP Associato,Autonoma,Autonoma,"7,39632339","45,07935742"
1014,AZEGLIO,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,9947707","45,4248619"
1015,BAIRO,Piemonte,TO, <5.000 ab.,Cuorgnè,SUAP Associato,Autonoma,Autonoma,"7,75691809","45,38624929"
1016,BALANGERO,Piemonte,TO, <5.000 ab.,"Unione Montana Valli di Lanzo, Ceronda e Casternone",SUAP Associato,Autonoma,Autonoma,"7,51930957","45,27003001"
1017,BALDISSERO CANAVESE,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,74444451","45,40840358"
1018,BALDISSERO TORINESE,Piemonte,TO, <5.000 ab.,Chieri,SUAP Associato,Autonoma,Autonoma,"7,81780767","45,06842334"
1019,BALME,Piemonte,TO, <5.000 ab.,"Unione Montana Valli di Lanzo, Ceronda e Casternone",SUAP Associato,Autonoma,Autonoma,"7,21831414","45,30229406"
1020,BANCHETTE,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,85656384","45,4608501"
1021,BARBANIA,Piemonte,TO, <5.000 ab.,Ciriè,SUAP Associato,Autonoma,Autonoma,"7,63051093","45,2905002"
1022,BARDONECCHIA,Piemonte,TO, <5.000 ab.,Unione Montana Valle Susa,SUAP Associato,Autonoma,Autonoma,"6,70382393","45,07816901"
1023,BARONE CANAVESE,Piemonte,TO, <5.000 ab.,Cuorgnè,SUAP Associato,Autonoma,Autonoma,"7,87055626","45,32772558"
1024,BEINASCO,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,Autonoma,Autonoma,"7,57915804","45,02207899"
1025,BIBIANA,Piemonte,TO, <5.000 ab.,Unione Montana del Pinerolese,SUAP Associato,Autonoma,Autonoma,"7,28978596","44,79758015"
1026,BOBBIO PELLICE,Piemonte,TO, <5.000 ab.,Unione Montana del Pinerolese,SUAP Associato,Autonoma,Autonoma,"7,11790449","44,80770617"
1027,BOLLENGO,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,94534881","45,4733572"
1028,BORGARO TORINESE,Piemonte,TO, <5.000 ab.,SUAP UNIONE DEI COMUNI NORD EST TORINO,SUAP Associato,I1G,I1G,"7,65789441","45,15198241"
1029,BORGIALLO,Piemonte,TO, <5.000 ab.,Cuorgnè,SUAP Associato,Autonoma,Autonoma,"7,66773369","45,4168132"
1030,BORGOFRANCO D'IVREA,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,Autonoma,Autonoma,"7,85852209","45,51300686"
1031,BORGOMASINO,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,98879962","45,36155134"
1032,BORGONE SUSA,Piemonte,TO, <5.000 ab.,Unione Montana Valle Susa,SUAP Associato,Autonoma,Autonoma,"7,24121397","45,12313936"
1033,BOSCONERO,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,76506984","45,26856393"
1034,BRANDIZZO,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,84147562","45,17765247"
1035,BRICHERASIO,Piemonte,TO, <5.000 ab.,Unione Montana del Pinerolese,SUAP Associato,Autonoma,Autonoma,"7,30288754","44,82558164"
1036,BROSSO,Piemonte,TO, <5.000 ab.,Cuorgnè,SUAP Associato,Autonoma,Autonoma,"7,80333443","45,49276005"
1037,BROZOLO,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"8,07127843","45,1174193"
1038,BRUINO,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,46769111","45,0202325"
1039,BRUSASCO,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"8,06009417","45,15595512"
1040,BRUZOLO,Piemonte,TO, <5.000 ab.,Unione Montana Valle Susa,SUAP Associato,Autonoma,Autonoma,"7,19397692","45,14312487"
1041,BURIASCO,Piemonte,TO, <5.000 ab.,Pinerolo,SUAP Associato,Autonoma,Autonoma,"7,41192286","44,87335846"
1042,BUROLO,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,93205672","45,48411969"
1043,BUSANO,Piemonte,TO, <5.000 ab.,Cuorgnè,SUAP Associato,Autonoma,Autonoma,"7,6557437","45,32883648"
1044,BUSSOLENO,Piemonte,TO, <5.000 ab.,Unione Montana Valle Susa,SUAP Associato,Autonoma,Autonoma,"7,14931876","45,13727952"
1045,BUTTIGLIERA ALTA,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,43678073","45,06701514"
1046,CAFASSE,Piemonte,TO, <5.000 ab.,"Unione Montana Valli di Lanzo, Ceronda e Casternone",SUAP Associato,Autonoma,Autonoma,"7,51812356","45,24471151"
1047,CALUSO,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,89150532","45,30786205"
1048,CAMBIANO,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,Autonoma,Autonoma,"7,77932471","44,9734596"
1049,CAMPIGLIONE FENILE,Piemonte,TO, <5.000 ab.,Pinerolo,SUAP Associato,Autonoma,Autonoma,"7,32503803","44,8021244"
1050,CANDIA CANAVESE,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,8866125","45,32816809"
1051,CANDIOLO,Piemonte,TO, <5.000 ab.,Pinerolo,SUAP Associato,Autonoma,Autonoma,"7,60121104","44,96026547"
1052,CANISCHIO,Piemonte,TO, <5.000 ab.,Cuorgnè,SUAP Associato,Autonoma,Autonoma,"7,59521831","45,37434585"
1053,CANTALUPA,Piemonte,TO, <5.000 ab.,Pinerolo,SUAP Associato,Autonoma,Autonoma,"7,33260383","44,94030975"
1054,CANTOIRA,Piemonte,TO, <5.000 ab.,"Unione Montana Valli di Lanzo, Ceronda e Casternone",SUAP Associato,Autonoma,Autonoma,"7,38167977","45,34323553"
1055,CAPRIE,Piemonte,TO, <5.000 ab.,Unione Montana Valle Susa,SUAP Associato,Autonoma,Autonoma,"7,33250655","45,11786515"
1056,CARAVINO,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,9602136","45,39860532"
1057,CAREMA,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,81230448","45,58444747"
1058,CARIGNANO,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,67534298","44,90666664"
1059,CARMAGNOLA,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,Autonoma,Autonoma,"7,71815745","44,84654865"
1060,CASALBORGONE,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,94044052","45,1299627"
1061,CASCINETTE D'IVREA,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,90469845","45,47845422"
1062,CASELETTE,Piemonte,TO, <5.000 ab.,Unione Montana Valle Susa,SUAP Associato,Autonoma,Autonoma,"7,48320717","45,10588105"
1063,CASELLE TORINESE,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,64818634","45,17716554"
1064,CASTAGNETO PO,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,88698844","45,16060833"
1065,CASTAGNOLE PIEMONTE,Piemonte,TO, <5.000 ab.,Pinerolo,SUAP Associato,Autonoma,Autonoma,"7,56655619","44,8986196"
1066,CASTELLAMONTE,Piemonte,TO, <5.000 ab.,Castellamonte,SUAP Associato,Autonoma,Autonoma,"7,70986533","45,3833354"
1067,CASTELNUOVO NIGRA,Piemonte,TO, <5.000 ab.,Cuorgnè,SUAP Associato,Autonoma,Autonoma,"7,69511431","45,43732305"
1068,CASTIGLIONE TORINESE,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,8160937","45,12330917"
1069,CAVAGNOLO,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"8,05131021","45,15207451"
1070,CAVOUR,Piemonte,TO, <5.000 ab.,Pinerolo,SUAP Associato,Autonoma,Autonoma,"7,37523198","44,78403126"
1071,CERCENASCO,Piemonte,TO, <5.000 ab.,Pinerolo,SUAP Associato,Autonoma,Autonoma,"7,50125803","44,86126074"
1072,CERES,Piemonte,TO, <5.000 ab.,Viù,SUAP Associato,Autonoma,Autonoma,"7,38934335","45,31307899"
1073,CERESOLE REALE,Piemonte,TO, <5.000 ab.,Cuorgnè,SUAP Associato,Autonoma,Autonoma,"7,23254114","45,43261794"
1074,CESANA TORINESE,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,Autonoma,Autonoma,"6,79422776","44,95241086"
1075,CHIALAMBERTO,Piemonte,TO, <5.000 ab.,"Unione Montana Valli di Lanzo, Ceronda e Casternone",SUAP Associato,Autonoma,Autonoma,"7,34570078","45,36285948"
1076,CHIANOCCO,Piemonte,TO, <5.000 ab.,Unione Montana Valle Susa,SUAP Associato,Autonoma,Autonoma,"7,16939346","45,1485858"
1077,CHIAVERANO,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,90312753","45,49939701"
1078,CHIERI,Piemonte,TO, <5.000 ab.,Chieri,SUAP Associato,Autonoma,Autonoma,"7,82107157","45,01315317"
1079,CHIESANUOVA,Piemonte,TO, <5.000 ab.,Cuorgnè,SUAP Associato,Autonoma,Autonoma,"7,65605931","45,41780821"
1080,CHIOMONTE,Piemonte,TO, <5.000 ab.,Unione Montana Valle Susa,SUAP Associato,Autonoma,Autonoma,"6,98338614","45,11938583"
1081,CHIUSA DI SAN MICHELE,Piemonte,TO, <5.000 ab.,Unione Montana Valle Susa,SUAP Associato,Autonoma,Autonoma,"7,3264449","45,10154711"
1082,CHIVASSO,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,Autonoma,Autonoma,"7,8871395","45,18855522"
1083,CICONIO,Piemonte,TO, <5.000 ab.,Rivarolo Canavese,SUAP Associato,Autonoma,Autonoma,"7,75987216","45,33032199"
1084,CINTANO,Piemonte,TO, <5.000 ab.,Cuorgnè,SUAP Associato,Autonoma,Autonoma,"7,68662115","45,42805026"
1085,CINZANO,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,92112148","45,09389859"
